1|Harry Potter|Rohkelikko|mies|musta|puoliverinen|ankeuttaja|Väkevän sauva
2|Ron Weasley|Rohkelikko|mies|oranssi|puhdasverinen|hämähäkki|Lumouskaltainen
3|Hermione Granger|Rohkelikko|nainen|ruskea|jästisyntyinen|Kokeessa reputtaminen|Viisaan sauva
4|Draco Malfoy|Luihuinen|mies|vaalea|puhdasverinen|Voldemort|Ylväs sauva
5|Albus Dumbledore|Rohkelikko|mies|hopea|puoliverinen|Hänen sisarensa ruumis|Perinnaikainen
6|Uusi Asukas|Puuskupuh|Sukupuoli|Hiusten väri|Syntyperä|Mörkö|Taikasauva
7|Uusi Asukas|Luihuinen|Sukupuoli|Hiusten väri|Syntyperä|Mörkö|Taikasauva
8|Uusi Asukas|Rohkelikko|Sukupuoli|Hiusten väri|Syntyperä|Mörkö|Taikasauva
9|Uusi Asukas|Rohkelikko|Sukupuoli|Hiusten väri|Syntyperä|Mörkö|Taikasauva
10|Uusi Asukas|Puuskupuh|||||
11|Uusi Asukas|Rohkelikko|||||
